Title,Link
Trusted high-performance computing in the classroom,https://dl.acm.org/doi/10.1109/EduHPC.2014.13
Teaching high performance computing: lessons from a flipped classroom, project-based course on finite element methods
Scalable high performance computing,https://dl.acm.org/doi/10.1145/197912.197946
Energy based performance tuning for large scale high performance computing systems,https://dl.acm.org/doi/10.5555/2338816.2338822
Autotuning for high performance computing,https://dl.acm.org/doi/10.1145/2088256.2088264
Introducing high performance computing concepts into engineering undergraduate curriculum: a success story,https://dl.acm.org/doi/10.1145/2831425.2831430
HPC '11: Proceedings of the 19th High Performance Computing Symposia,https://dl.acm.org/doi/proceedings/10.5555/2048577
Computational steering for high performance computing: applications on Blue Gene/Q system,https://dl.acm.org/doi/10.5555/2872599.2872624
Virtualizing high performance computing,https://dl.acm.org/doi/10.1145/1899928.1899946
CSIR initiatives in high performance computing in India,https://dl.acm.org/doi/10.5555/2346696.2346719
Improving I/O performance for High Performance Computing with Application Forwarding Layer,https://dl.acm.org/doi/10.1145/3409501.3409511
High performance computing with spatial datasets,https://dl.acm.org/doi/10.1145/1869692.1869693
HPC '15: Proceedings of the Symposium on High Performance Computing,https://dl.acm.org/doi/proceedings/10.5555/2872599
HPC '17: Proceedings of the 25th High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/3108096
Toward High Performance Computing Education,https://dl.acm.org/doi/10.1145/3341525.3394989
Linux vs. lightweight multi-kernels for high performance computing: experiences at pre-exascale,https://dl.acm.org/doi/10.1145/3458817.3476162
Dynamic compilation for component-based high performance computing,https://dl.acm.org/doi/10.1145/1687774.1687778
Biological data integration and high-performance computing,https://dl.acm.org/doi/10.1145/1375783.1375796
Finite-state verification for high performance computing,https://dl.acm.org/doi/10.1145/1145319.1145340
HPC-GPT: Integrating Large Language Model for High-Performance Computing,https://dl.acm.org/doi/10.1145/3624062.3624172
HPC '18: Proceedings of the High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/3213069
High Performance Computing Co-Design Strategies,https://dl.acm.org/doi/10.1145/2818950.2818959
HPC '13: Proceedings of the High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/2499968
Integration of high-performance computing into a VCL cloud,https://dl.acm.org/doi/10.1145/2535800.2535802
CHINA HPC '07: Proceedings of the 2007 Asian technology information program's (ATIP's) 3rd workshop on High performance computing in China: solution approaches to impediments for high performance computing,https://dl.acm.org/doi/proceedings/10.1145/1375783
HPC '14: Proceedings of the High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/2663510
High Performance Computing Education: Current Challenges and Future Directions,https://dl.acm.org/doi/10.1145/3437800.3439203
The high performance computing and communications (HPCC) program: technologies for the national information infrastructure,https://dl.acm.org/doi/10.5555/602770.602821
Universal high performance computing: we have just begun,https://dl.acm.org/doi/10.1145/197912.197925
OpenCL-ready High Speed FPGA Network for Reconfigurable High Performance Computing,https://dl.acm.org/doi/10.1145/3149457.3149479
Predicting faults in high performance computing systems: an in-depth survey of the state-of-the-practice,https://dl.acm.org/doi/10.1145/3295500.3356185
Usage of petri nets for high performance computing,https://dl.acm.org/doi/10.1145/2364474.2364481
High performance computing: the software challenges,https://dl.acm.org/doi/10.1145/1278177.1278180
Refactorings for Fortran and high-performance computing,https://dl.acm.org/doi/10.1145/1145319.1145331
Acceleration technology for high performance computing in China,https://dl.acm.org/doi/10.1145/1375783.1375800
Commit quality in five high performance computing projects,https://dl.acm.org/doi/10.5555/2821003.2821008
EduHPC '14: Proceedings of the Workshop on Education for High-Performance Computing,https://dl.acm.org/doi/proceedings/10.5555/2690854
Predictive modeling of I/O characteristics in high performance computing systems,https://dl.acm.org/doi/10.5555/3213069.3213077
A comparative study of high-performance computing on the cloud,https://dl.acm.org/doi/10.1145/2462902.2462919
Enabling collaboration in high performance computing,https://dl.acm.org/doi/10.1145/1324302.1324312
A power-measurement methodology for large-scale, high-performance computing,https://dl.acm.org/doi/10.1145/2568088.2576795
NEC High performance computing solutions,https://dl.acm.org/doi/10.1145/1188455.1188739
Toward high performance computing in unconventional computing environments,https://dl.acm.org/doi/10.1145/1851476.1851569
Predicting risky modules in open-source software for high-performance computing,https://dl.acm.org/doi/10.1145/1145319.1145337
Fujitsu's vision for high performance computing,https://dl.acm.org/doi/10.1145/1188455.1188742
High performance computing meets experimental mathematics,https://dl.acm.org/doi/10.5555/762761.762768
Web Portals for High-performance Computing: A Survey,https://dl.acm.org/doi/10.1145/3197385
High performance computing for combustion applications,https://dl.acm.org/doi/10.1145/1188455.1188514
High Performance Computing in Context,https://dl.acm.org/doi/10.1109/SC.2004.28
High-performance computing in mobile services,https://dl.acm.org/doi/10.1145/2254756.2254759
GPU Cluster for High Performance Computing,https://dl.acm.org/doi/10.1109/SC.2004.26
Towards New Metrics for High-Performance Computing Resilience,https://dl.acm.org/doi/10.1145/3086157.3086163
California Institute of the Arts: CalArts,https://calarts.edu/
What Are Soft Skills? Definition, Importance, and Examples,https://www.investopedia.com/terms/s/soft-skills.asp
Google Developer Student Clubs,https://developers.google.com/community/gdsc
Digital and Data Services: High Performance Computing,https://library.lclark.edu/digital/hpc
/clinics/nyu-langone-fertility-center
College Navigator - National Center for Education Statistics,https://nces.ed.gov/collegenavigator/
Pamela J. Brown - Crunch Fitness,https://www.linkedin.com/in/pamelabr
Studies Reveal Cell-by-Cell Changes Caused When Pig ...,https://www.prnewswire.com/news-releases/studies-reveal-cell-by-cell-changes-caused-when-pig-hearts-and-kidneys-are-transplanted-into-humans-302151664.html
The Chronicle of Higher Education | Higher Ed News, Opinion ...,https://www.chronicle.com/
Baby boomers delaying retirement because work is fulfilling,https://fortune.com/2024/05/18/baby-boomers-delaying-retirement-workplace-shift-fulfilling-careers/
Software Resources,https://www.nyu.edu/life/information-technology/computing-support/software/software.html
Gene De Libero, CCXP - Digital Mindshare LLC,https://www.linkedin.com/in/delibero
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/research/facilities-and-support/center-for-research-computing.html
NYU Greene: HPC Supercomputer Cluster,https://www.nyu.edu/life/information-technology/research-computing-services/high-performance-computing/high-performance-computing-nyu-it/hpc-supercomputer-clusters.html/1000
Genome Technology Center,https://med.nyu.edu/research/scientific-cores-shared-resources/genome-technology-center
Resources for Instructor-Student Excellence,https://publichealth.nyu.edu/faculty/teaching-resources/resources-instructor-student-excellence
Key Projects and Initiatives,https://www.nyu.edu/life/information-technology/about-nyu-it/key-projects-and-initiatives.html
Academic Services,https://publichealth.nyu.edu/students/current/academic-services
Data Services : Service Guidelines,https://guides.nyu.edu/dataservices/guidelines
Research Electronic Data Capture (REDCap),https://www.nyu.edu/life/information-technology/research-computing-services/research-data-and-tools/redcap.html
NYU Print Service,https://www.nyu.edu/life/information-technology/computing-support/desktop-mobile-and-printing/nyu-print-service.html
Better, Faster, Greener - NYU Launches One of The Fastest ...,https://www.nyu.edu/about/news-publications/news/2020/november/GreeneSupercomputer.html
Hybrid/Remote Work Policy - New York,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/hybrid-remote-work-policy---new-york0.html
Policies and Procedures,https://www.sps.nyu.edu/homepage/student-experience/policies-and-procedures.html
MS in Biomedical Informatics,https://med.nyu.edu/research/vilcek-institute-graduate-biomedical-sciences/ms-biomedical-informatics
Academic Policies,https://cas.nyu.edu/academic-programs/bulletin/policies/academic-policies.html
Neuroscience Research Associates Program,https://med.nyu.edu/departments-institutes/neuroscience/education/research-associates-program
Computer Science, M.S.,https://engineering.nyu.edu/academics/programs/computer-science-ms
Dates & Deadlines (for Fall Starts),https://www.nyu.edu/life/events-traditions/nyu-welcome/deadlines-and-dates.html
The Complete Book of Colleges, 2012 Edition,https://books.google.com/books?id=TVrN0CPiA64C&pg=PA657&lpg=PA657&dq=This+work+was+supported+in+part+through+the+NYU+IT+High+Performance+Computing+resources,+services,+and+staff+expertise&source=bl&ots=ec1qkJyA5Q&sig=ACfU3U16mSo49EoziLI-pxlYr4CBLpG8pw&hl=en&sa=X&ved=2ahUKEwiHhsbv26GGAxXdFjQIHUe1CXg4PBDoAXoECAsQAw
Labs and Groups,https://engineering.nyu.edu/research/labs-and-groups
Research Centers and Institutes,https://www.nyu.edu/research/research-centers-and-institutes.html
9 Undergraduate Research Projects That Wowed Us This ...,https://www.nyu.edu/about/news-publications/news/2024/may/9-undergraduate-research-projects-that-wowed-us-this-year.html
Andre Koo Technology and Entrepreneurship MBA,http://blogs.stern.nyu.edu/tech-mba/
Full-time MBA Blog –,http://blogs.stern.nyu.edu/full-time-mba/
Acknowledgement Statement - hpc@nyu.edu,https://sites.google.com/nyu.edu/nyu-hpc/about/acknowledgement-statement
ABC: A Big CAD Model Dataset For Geometric Deep ...,https://archive.nyu.edu/handle/2451/43778
ABC Dataset Chunk 0010,https://archive.nyu.edu/handle/2451/44326
High Performance Computing Core,https://med.nyu.edu/research/scientific-cores-shared-resources/high-performance-computing-core
High Performance Computing,https://www.nyu.edu/life/information-technology/research-computing-services/high-performance-computing.html
Which is better, NYU or Columbia University?,https://www.quora.com/Which-is-better-NYU-or-Columbia-University
Getting and Renewing an Account,https://sites.google.com/nyu.edu/nyu-hpc/accessing-hpc/getting-and-renewing-an-account
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/research/facilities-and-support/center-for-research-computing.html
Digital and Data Services: High Performance Computing,https://library.lclark.edu/digital/hpc
New York State Education Department,https://www.nysed.gov/
Software Resources,https://www.nyu.edu/life/information-technology/computing-support/software/software.html
New Mexico Department of Workforce Solutions > Home,https://www.dws.state.nm.us/en-us/
Association for Computing Machinery,https://www.acm.org/
Research, Ethics, Compliance, and Safety Training,https://about.citiprogram.org/
Librarian for History,https://apply.interfolio.com/141648
Howard University: Undergraduate & Graduate Admissions,https://admission.howard.edu/
Learning Assessment Tools & Software,https://examsoft.com/
Job Seeker FAQ | NYU Langone Health,https://jobs.nyulangone.org/job-seeker-faqs/
Career Opportunities | NYU Langone Health,https://jobs.nyulangone.org/career-opportunities/
Fashion Institute of Technology,https://www.fitnyc.edu/
Better, Faster, Greener - NYU Launches One of The Fastest ...,https://www.nyu.edu/about/news-publications/news/2020/november/GreeneSupercomputer.html
New York State Education Department,https://www.nysed.gov/
The New School: A University in New York City,https://www.newschool.edu/
Resources for Instructor-Student Excellence,https://publichealth.nyu.edu/faculty/teaching-resources/resources-instructor-student-excellence
Oracle Health,https://www.oracle.com/health/
A best case research library scenario: the partnership data ...,https://christianlauersen.net/2015/04/07/a-best-case-research-library-scenario-the-partnership-data-service-profile-between-library-it-services-at-nyu/
Learning Assessment Tools & Software,https://examsoft.com/
California Institute of the Arts: CalArts,https://calarts.edu/
Google Developer Student Clubs,https://developers.google.com/community/gdsc
What Are Soft Skills? Definition, Importance, and Examples,https://www.investopedia.com/terms/s/soft-skills.asp
NYU Langone Fertility Center,https://www.fertilityiq.com/fertilityiq/clinics/nyu-langone-fertility-center
College Navigator - National Center for Education Statistics,https://nces.ed.gov/collegenavigator/
How Ethan and Lilach Mollick started automating their jobs,https://www.vox.com/future-perfect/2023/3/14/23637633/chatgpt-bing-generative-ai-ethan-lilach-mollick
Rebecca G. - Pandemic Sabatical - Fat Little Bird,https://www.linkedin.com/in/rsgallagher
Healthcare IT & Epic Jobs,https://jobs.nyulangone.org/career-opportunities/information-technology-digital/
Data Services : Service Guidelines,https://guides.nyu.edu/dataservices/guidelines
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/research/facilities-and-support/center-for-research-computing.html
Better, Faster, Greener - NYU Launches One of The Fastest ...,https://www.nyu.edu/about/news-publications/news/2020/november/GreeneSupercomputer.html
Key Projects and Initiatives,https://www.nyu.edu/life/information-technology/about-nyu-it/key-projects-and-initiatives.html
Policies and Procedures,https://www.sps.nyu.edu/homepage/student-experience/policies-and-procedures.html
Genome Technology Center,https://med.nyu.edu/research/scientific-cores-shared-res

ources/genome-technology-center
The Astonishing Transformation of Austin,https://www.newyorker.com/magazine/2023/02/13/the-astonishing-transformation-of-austin
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/about/leadership-and-administration/office-of-the-provost/research/research-and-research-institute/center-for-research-computing.html
Academic Services,https://publichealth.nyu.edu/students/current/academic-services
Policies and Procedures,https://www.sps.nyu.edu/homepage/student-experience/policies-and-procedures.html
Team | Corelink - NYU,https://corelink.hpc.nyu.edu/about-us/team
Software for Research and Teaching - NYU Abu Dhabi,https://nyuad.nyu.edu/en/library/research-and-instruction-services/center-for-academic-technology/software.html
MS in Biomedical Informatics,https://med.nyu.edu/research/vilcek-institute-graduate-biomedical-sciences/ms-biomedical-informatics
Art and Art Professions,https://steinhardt.nyu.edu/departments/art-and-art-professions
Academic Policies,https://cas.nyu.edu/academic-programs/bulletin/policies/academic-policies.html
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/about/leadership-and-administration/office-of-the-provost/research/research-and-research-institute/center-for-research-computing.html
Neuroscience Research Associates Program,https://med.nyu.edu/departments-institutes/neuroscience/education/research-associates-program
ARISE Program Details,https://engineering.nyu.edu/academics/programs/k12-stem-education/arise/program-details
Labs and Groups,https://engineering.nyu.edu/research/labs-and-groups
Business and Technology Management, B.S.,https://engineering.nyu.edu/academics/programs/business-and-technology-management-bs
The NYU SPS Energy, Climate Justice, and Sustainability ...,https://www.sps.nyu.edu/homepage/academics/divisions-and-departments/center-for-global-affairs/ecjs-lab.html
ESG and Financial Performance,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/centers-of-research/center-sustainable-business/research/research-initiatives/esg-and-financial-performance
Washington Square,https://meet.nyu.edu/washington-square-tour/
Course Schedule,https://cs.nyu.edu/dynamic/courses/schedule/
Master's (MS) in Human Capital Analytics and Technology ...,https://www.sps.nyu.edu/homepage/academics/masters-degrees/ms-in-human-capital-analytics-and-technology.html
Benchmarking of Machine Learning Ocean Subgrid ...,https://nyuscholars.nyu.edu/en/publications/benchmarking-of-machine-learning-ocean-subgrid-parameterizations-
Master's (MS) in Human Capital Analytics and Technology ...,https://www.sps.nyu.edu/homepage/academics/masters-degrees/ms-in-human-capital-analytics-and-technology.html
Research Centers and Institutes,https://www.nyu.edu/research/research-centers-and-institutes.html
Course Schedule,https://cs.nyu.edu/dynamic/courses/schedule/
Business and Technology Management, B.S.,https://engineering.nyu.edu/academics/programs/business-and-technology-management-bs
Full-time MBA Blog –,http://blogs.stern.nyu.edu/full-time-mba/
Resources in Education - Volume 22 - Page 822 - Google Books Result,https://books.google.com/books?id=jz7gAAAAMAAJ&pg=PA822&lpg=PA822&dq=This+work+was+supported+in+part+through+the+NYU+IT+High+Performance+Computing+resources,+services,+and+staff+expertise&source=bl&ots=CDAb7AhxXa&sig=ACfU3U39TWcv_Ie5mxaoF-tQakOlkXKJkw&hl=en&sa=X&ved=2ahUKEwjdxt-64ZyGAxV-avUHHRxZBLo4RhDoAXoECAkQAw
California Institute of the Arts: CalArts,https://calarts.edu/
"What Are Soft Skills? Definition, Importance, and Examples",https://www.investopedia.com/terms/s/soft-skills.asp
Google Developer Student Clubs,https://developers.google.com/community/gdsc
Digital and Data Services: High Performance Computing,https://library.lclark.edu/digital/hpc
NYU Langone Fertility Center,https://www.fertilityiq.com/fertilityiq/clinics/nyu-langone-fertility-center
College Navigator - National Center for Education Statistics,https://nces.ed.gov/collegenavigator/
Pamela J. Brown - Crunch Fitness,https://www.linkedin.com/in/pamelabr
Studies Reveal Cell-by-Cell Changes Caused When Pig ...,https://www.prnewswire.com/news-releases/studies-reveal-cell-by-cell-changes-caused-when-pig-hearts-and-kidneys-are-transplanted-into-humans-302151664.html
"The Chronicle of Higher Education | Higher Ed News, Opinion ...",https://www.chronicle.com/
Baby boomers delaying retirement because work is fulfilling,https://fortune.com/2024/05/18/baby-boomers-delaying-retirement-workplace-shift-fulfilling-careers/
Software Resources,https://www.nyu.edu/life/information-technology/computing-support/software/software.html
"Gene De Libero, CCXP - Digital Mindshare LLC",https://www.linkedin.com/in/delibero
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/research/facilities-and-support/center-for-research-computing.html
NYU Greene: HPC Supercomputer Cluster,https://www.nyu.edu/life/information-technology/research-computing-services/high-performance-computing/high-performance-computing-nyu-it/hpc-supercomputer-clusters.html/1000
Genome Technology Center,https://med.nyu.edu/research/scientific-cores-shared-resources/genome-technology-center
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/about/leadership-and-administration/office-of-the-provost/research/research-and-research-institute/center-for-research-computing.html
Resources for Instructor-Student Excellence,https://publichealth.nyu.edu/faculty/teaching-resources/resources-instructor-student-excellence
Key Projects and Initiatives,https://www.nyu.edu/life/information-technology/about-nyu-it/key-projects-and-initiatives.html
Academic Services,https://publichealth.nyu.edu/students/current/academic-services
Data Services : Service Guidelines,https://guides.nyu.edu/dataservices/guidelines
Research Electronic Data Capture (REDCap),https://www.nyu.edu/life/information-technology/research-computing-services/research-data-and-tools/redcap.html
NYU Print Service,https://www.nyu.edu/life/information-technology/computing-support/desktop-mobile-and-printing/nyu-print-service.html
"Better, Faster, Greener - NYU Launches One of The Fastest ...",https://www.nyu.edu/about/news-publications/news/2020/november/GreeneSupercomputer.html
Hybrid/Remote Work Policy - New York,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/hybrid-remote-work-policy---new-york0.html
Policies and Procedures,https://www.sps.nyu.edu/homepage/student-experience/policies-and-procedures.html
MS in Biomedical Informatics,https://med.nyu.edu/research/vilcek-institute-graduate-biomedical-sciences/ms-biomedical-informatics
Academic Policies,https://cas.nyu.edu/academic-programs/bulletin/policies/academic-policies.html
Neuroscience Research Associates Program,https://med.nyu.edu/departments-institutes/neuroscience/education/research-associates-program
"Computer Science, M.S.",https://engineering.nyu.edu/academics/programs/computer-science-ms
Dates & Deadlines (for Fall Starts),https://www.nyu.edu/life/events-traditions/nyu-welcome/deadlines-and-dates.html
"The Complete Book of Colleges, 2012 Edition","https://books.google.com/books?id=TVrN0CPiA64C&pg=PA657&lpg=PA657&dq=This+work+was+supported+in+part+through+the+NYU+IT+High+Performance+Computing+resources,+services,+and+staff+expertise&source=bl&ots=ec1qkJyA5Q&sig=ACfU3U16mSo49EoziLI-pxlYr4CBLpG8pw&hl=en&sa=X&ved=2ahUKEwiHhsbv26GGAxXdFjQIHUe1CXg4PBDoAXoECAsQAw",Princeton Review (Firm) · 2011 · ‎Education... NYU MAJD with Pace Law School . Special programs offered to physically disabled students include note - taking services ... high qual- ity placements in work ...
Labs and Groups,https://engineering.nyu.edu/research/labs-and-groups
Research Centers and Institutes,https://www.nyu.edu/research/research-centers-and-institutes.html
9 Undergraduate Research Projects That Wowed Us This ...,https://www.nyu.edu/about/news-publications/news/2024/may/9-undergraduate-research-projects-that-wowed-us-this-year.html
Andre Koo Technology and Entrepreneurship MBA,http://blogs.stern.nyu.edu/tech-mba/
Full-time MBA Blog –,http://blogs.stern.nyu.edu/full-time-mba/
College Navigator - National Center for Education Statistics,https://nces.ed.gov/collegenavigator/
Pamela J. Brown - Crunch Fitness,https://www.linkedin.com/in/pamelabr
Studies Reveal Cell-by-Cell Changes Caused When Pig ...,https://www.prnewswire.com/news-releases/studies-reveal-cell-by-cell-changes-caused-when-pig-hearts-and-kidneys-are-transplanted-into-humans-302151664.html
Data Services : Service Guidelines,https://guides.nyu.edu/dataservices/guidelines
Digital and Data Services: High Performance Computing,https://library.lclark.edu/digital/hpc
Resources for Instructor-Student Excellence,https://publichealth.nyu.edu/faculty/teaching-resources/resources-instructor-student-excellence
Steve Morales - New York University,https://www.linkedin.com/in/stevemorales1
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/about/leadership-and-administration/office-of-the-provost/research/research-and-research-institute/center-for-research-computing.html
Academic Services,https://publichealth.nyu.edu/students/current/academic-services
California Institute of the Arts: CalArts,https://calarts.edu/
"What Are Soft Skills? Definition, Importance, and Examples",https://www.investopedia.com/terms/s/soft-skills.asp
Google Developer Student Clubs,https://developers.google.com/community/gdsc
Digital and Data Services: High Performance Computing,https://library.lclark.edu/digital/hpc
NYU Langone Fertility Center,https://www.fertilityiq.com/fertilityiq/clinics/nyu-langone-fertility-center
College Navigator - National Center for Education Statistics,https://nces.ed.gov/collegenavigator/
Pamela J. Brown - Crunch Fitness,https://www.linkedin.com/in/pamelabr
Studies Reveal Cell-by-Cell Changes Caused When Pig ...,https://www.prnewswire.com/news-releases/studies-reveal-cell-by-cell-changes-caused-when-pig-hearts-and-kidneys-are-transplanted-into-humans-302151664.html
"The Chronicle of Higher Education | Higher Ed News, Opinion ...",https://www.chronicle.com/
Baby boomers delaying retirement because work is fulfilling,https://fortune.com/2024/05/18/baby-boomers-delaying-retirement-workplace-shift-fulfilling-careers/
Software Resources,https://www.nyu.edu/life/information-technology/computing-support/software/software.html
"Gene De Libero, CCXP - Digital Mindshare LLC",https://www.linkedin.com/in/delibero
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/research/facilities-and-support/center-for-research-computing.html
NYU Greene: HPC Supercomputer Cluster,https://www.nyu.edu/life/information-technology/research-computing-services/high-performance-computing/high-performance-computing-nyu-it/hpc-supercomputer-clusters.html/1000
Genome Technology Center,https://med.nyu.edu/research/scientific-cores-shared-resources/genome-technology-center
Center for Research Computing - NYU Abu Dhabi,https://nyuad.nyu.edu/en/about/leadership-and-administration/office-of-the-provost/research/research-and-research-institute/center-for-research-computing.html
